iter	Passed	Remaining
839	30718	5851
840	30751	5813
841	30780	5775
842	30810	5738
843	30846	5701
844	30879	5664
845	30914	5627
846	30949	5590
847	30983	5553
848	31016	5516
849	31051	5479
850	31085	5442
851	31118	5405
852	31151	5368
853	31184	5331
854	31224	5295
855	31268	5260
856	31340	5229
857	31377	5193
858	31415	5156
859	31456	5120
860	31500	5085
861	31541	5049
862	31579	5013
863	31617	4976
864	31653	4940
865	31694	4904
866	31733	4868
867	31767	4831
868	31801	4794
869	31837	4757
870	31871	4720
871	31905	4683
872	31937	4646
873	31969	4608
874	31999	4571
875	32029	4533
876	32060	4496
877	32090	4458
878	32121	4421
879	32152	4384
880	32182	4347
881	32214	4309
882	32245	4272
883	32276	4235
884	32309	4198
885	32340	4161
886	32370	4123
887	32402	4086
888	32432	4049
889	32462	4012
890	32492	3974
891	32524	3937
892	32554	3900
893	32585	3863
894	32617	3826
895	32661	3791
896	32699	3754
897	32733	3718
898	32765	3681
899	32798	3644
900	32834	3607
901	32866	3570
902	32900	3534
903	32935	3497
904	32968	3460
905	33003	3424
906	33036	3387
907	33068	3350
908	33101	3313
909	33134	3277
910	33170	3240
911	33206	3204
912	33247	3168
913	33298	3133
914	33344	3097
915	33387	3061
916	33430	3025
917	33472	2989
918	33508	2953
919	33546	2917
920	33584	2880
921	33629	2845
922	33671	2809
923	33716	2773
924	33760	2737
925	33801	2701
926	33841	2664
927	33880	2628
928	33919	2592
929	33962	2556
930	34012	2520
931	34067	2485
932	34108	2449
933	34151	2413
934	34194	2377
935	34236	2340
936	34292	2305
937	34391	2273
938	34495	2240
939	34529	2204
940	34560	2166
941	34594	2129
942	34634	2093
943	34674	2056
944	34708	2020
945	34753	1983
946	34817	1948
947	34883	1913
948	34960	1878
949	35044	1844
950	35117	1809
951	35179	1773
952	35240	1737
953	35316	1702
954	35388	1667
955	35467	1632
956	35536	1596
957	35652	1563
958	35731	1527
959	35806	1491
960	35861	1455
961	35931	1419
962	35996	1383
963	36054	1346
964	36123	1310
965	36202	1274
966	36269	1237
967	36357	1201
968	36435	1165
969	36496	1128
970	36629	1093
971	36722	1057
972	36816	1021
973	36859	983
974	36939	947
975	37023	910
976	37090	873
977	37151	835
978	37204	798
979	37248	760
980	37295	722
981	37333	684
982	37378	646
983	37417	608
984	37513	571
985	37629	534
986	37690	496
987	37746	458
988	37782	420
989	37821	382
990	37860	343
991	37898	305
992	37934	267
993	37969	229
994	38006	190
995	38040	152
996	38078	114
997	38113	76
998	38150	38
999	38186	0
